deviceID,aX,aY,aZ,gX,gY,gZ
SPU2,0.77,-15.83,-0.59,0.17,3.48,1.73
SPU2,0.77,-15.83,-0.59,0.81,1.74,2.18
SPU2,0.77,-15.83,-0.59,1.96,-2.24,1.85
SPU2,4.22,-7.94,-4.92,1.96,-2.24,1.85
SPU2,0.81,-9.39,-4.15,1.96,-2.24,1.85
SPU2,4.11,-6.75,-4.73,1.96,-2.24,1.85
SPU2,0.31,-4.04,-3.27,1.96,-2.24,1.85
SPU2,-0.49,-4.15,-2.31,1.96,-2.24,1.85
SPU2,-9.99,-25.75,0.02,1.96,-2.24,1.85
SPU2,6.06,-4.07,-5.03,1.96,-2.24,1.85
SPU2,-9.49,-20.43,-5.37,1.96,-2.24,1.85
SPU2,6.75,-12.04,-2.93,1.96,-2.24,1.85
SPU2,6.75,-12.04,-2.93,-0.51,0.41,-0.11
SPU2,-0.37,-9.86,-3.92,-0.51,0.41,-0.11
SPU2,-0.37,-9.86,-3.92,-0.21,0.29,-0.11
SPU2,-0.37,-9.86,-3.92,-0.52,0.64,-0.12
SPU2,-0.37,-9.86,-3.92,-0.86,0.59,-0.21
SPU2,-0.37,-9.86,-3.92,-1.12,1.29,-0.22
SPU2,-0.37,-9.86,-3.92,-1.91,1.40,-0.55
SPU2,1.20,-12.35,0.10,-1.91,1.40,-0.55
SPU2,5.64,-9.89,-5.76,-1.91,1.40,-0.55
SPU2,-4.63,-6.52,-11.70,-1.91,1.40,-0.55
SPU2,9.05,-7.52,-6.30,-1.91,1.40,-0.55
SPU2,-6.73,-6.14,-4.23,-1.91,1.40,-0.55
SPU2,8.66,-9.86,-7.29,-1.91,1.40,-0.55
SPU2,8.78,-7.40,-7.25,-1.91,1.40,-0.55
SPU2,2.11,-10.20,-5.68,-1.91,1.40,-0.55
SPU2,2.11,-10.20,-5.68,1.21,0.11,0.91
SPU2,-0.84,-4.11,-1.24,1.21,0.11,0.91
SPU2,-0.84,-4.11,-1.24,-0.98,0.15,0.23
SPU2,-0.84,-4.11,-1.24,-1.20,-0.72,0.02
