deviceID,aX,aY,aZ,gX,gY,gZ
SPU3,-3.29,8.54,-2.18,-0.73,0.62,0.57
SPU3,-4.83,8.46,-2.03,-0.73,0.62,0.57
SPU3,-1.68,11.41,-2.95,-0.73,0.62,0.57
SPU3,-1.95,9.73,-1.95,-0.73,0.62,0.57
SPU3,0.30,8.43,-2.95,-0.73,0.62,0.57
SPU3,-1.00,9.88,-2.37,-0.73,0.62,0.57
SPU3,-2.41,7.93,-2.07,-0.73,0.62,0.57
SPU3,-0.84,10.54,-2.80,-0.73,0.62,0.57
SPU3,0.38,9.46,-2.91,-0.73,0.62,0.57
SPU3,0.38,9.46,-2.91,0.00,0.09,0.09
SPU3,-1.95,9.27,-2.37,0.00,0.09,0.09
SPU3,-0.11,9.31,-2.61,0.00,0.09,0.09
SPU3,-0.11,9.31,-2.61,-0.11,-0.08,0.14
SPU3,-0.57,8.89,-2.53,-0.11,-0.08,0.14
SPU3,-0.57,8.89,-2.53,-0.04,-0.03,0.06
SPU3,-0.57,8.89,-2.53,-0.00,-0.08,0.05
SPU3,-0.57,8.89,-2.53,0.02,0.18,0.05
SPU3,-0.57,8.89,-2.53,-0.03,0.08,0.05
SPU3,-0.57,8.89,-2.53,-0.01,-0.03,0.10
SPU3,-0.42,9.08,-2.34,-0.01,-0.03,0.10
SPU3,-0.50,9.39,-2.45,-0.01,-0.03,0.10
SPU3,-0.23,9.31,-2.53,-0.01,-0.03,0.10
SPU3,-0.23,9.31,-2.45,-0.01,-0.03,0.10
SPU3,-0.57,9.46,-2.26,-0.01,-0.03,0.10
SPU3,-0.04,9.50,-2.37,-0.01,-0.03,0.10
SPU3,0.30,9.50,-2.34,-0.01,-0.03,0.10
SPU3,0.30,9.50,-2.34,-0.03,0.03,0.04
SPU3,-0.42,9.61,-2.57,-0.03,0.03,0.04
SPU3,-0.34,9.42,-2.41,-0.03,0.03,0.04
SPU3,-0.34,9.42,-2.41,-0.07,-0.08,0.06
SPU3,0.19,9.46,-1.99,-0.07,-0.08,0.06
SPU3,-0.23,9.50,-2.11,-0.07,-0.08,0.06
SPU3,-0.23,9.50,-2.11,-0.04,-0.17,0.08
SPU3,-0.23,9.50,-2.11,-0.06,0.04,0.04
SPU3,-0.23,9.50,-2.11,0.01,-0.01,0.01
SPU3,-0.23,9.50,-2.11,0.02,0.00,0.04
SPU3,0.08,9.46,-2.18,0.02,0.00,0.04
SPU3,0.23,9.54,-2.22,0.02,0.00,0.04
SPU3,0.11,9.46,-2.11,0.02,0.00,0.04
SPU3,0.04,9.50,-2.14,0.02,0.00,0.04
SPU3,0.19,9.46,-2.07,0.02,0.00,0.04
SPU3,0.19,9.61,-2.26,0.02,0.00,0.04
SPU3,-0.08,9.46,-2.11,0.02,0.00,0.04
SPU3,0.11,9.58,-2.14,0.02,0.00,0.04
SPU3,0.11,9.39,-2.07,0.02,0.00,0.04
SPU3,0.11,9.42,-2.03,0.02,0.00,0.04
SPU3,0.11,9.42,-2.03,-0.04,-0.01,0.02
SPU3,0.11,9.42,-2.03,0.01,0.00,-0.01
SPU3,0.19,9.69,-2.07,0.01,0.00,-0.01
SPU3,0.19,9.69,-2.07,-0.03,0.05,0.02
SPU3,0.19,9.69,-2.07,0.01,-0.02,0.01
SPU3,0.19,9.69,-2.07,-0.02,-0.04,0.01
SPU3,0.19,9.69,-2.07,0.00,-0.01,0.00
SPU3,-0.11,9.46,-2.03,0.00,-0.01,0.00
SPU3,0.04,9.61,-2.11,0.00,-0.01,0.00
SPU3,0.30,9.54,-2.07,0.00,-0.01,0.00
SPU3,0.15,9.58,-2.07,0.00,-0.01,0.00
SPU3,0.15,9.46,-2.03,0.00,-0.01,0.00
SPU3,0.04,9.42,-2.03,0.00,-0.01,0.00
SPU3,0.23,9.54,-2.03,0.00,-0.01,0.00
SPU3,0.11,9.42,-2.03,0.00,-0.01,0.00
SPU3,0.19,9.54,-1.99,0.00,-0.01,0.00
SPU3,0.11,9.50,-1.95,0.00,-0.01,0.00
SPU3,0.11,9.50,-1.95,-0.01,0.01,0.01
SPU3,0.11,9.50,-1.95,-0.01,-0.01,0.01
SPU3,0.15,9.58,-1.99,-0.01,-0.01,0.01
SPU3,0.15,9.58,-1.99,0.04,0.03,0.00
SPU3,0.15,9.58,-1.99,-0.02,0.00,-0.01
SPU3,0.08,9.61,-2.03,-0.02,0.00,-0.01
SPU3,0.08,9.61,-2.03,0.02,-0.00,-0.01
SPU3,0.08,9.61,-2.03,0.04,0.11,-0.05
SPU3,-0.19,9.35,-1.95,0.04,0.11,-0.05
SPU3,-0.15,9.58,-2.07,0.04,0.11,-0.05
SPU3,0.11,9.31,-2.03,0.04,0.11,-0.05
SPU3,0.15,9.61,-2.07,0.04,0.11,-0.05
SPU3,0.34,9.54,-2.03,0.04,0.11,-0.05
SPU3,0.04,9.58,-2.11,0.04,0.11,-0.05
SPU3,-0.08,9.42,-2.07,0.04,0.11,-0.05
SPU3,-0.08,9.42,-2.07,0.03,0.01,0.00
SPU3,0.00,9.69,-2.14,0.03,0.01,0.00
SPU3,0.08,9.50,-2.03,0.03,0.01,0.00
SPU3,0.08,9.50,-2.03,0.03,-0.02,0.01
SPU3,0.19,9.50,-2.07,0.03,-0.02,0.01
SPU3,0.19,9.50,-2.07,-0.02,-0.03,0.02
SPU3,0.19,9.50,-2.07,0.01,-0.07,0.01
SPU3,0.38,9.35,-2.03,0.01,-0.07,0.01
SPU3,0.38,9.35,-2.03,0.00,-0.01,0.02
SPU3,0.38,9.35,-2.03,-0.01,-0.04,0.01
SPU3,0.30,9.42,-2.11,-0.01,-0.04,0.01
SPU3,0.11,9.61,-2.22,-0.01,-0.04,0.01
SPU3,0.19,9.54,-2.07,-0.01,-0.04,0.01
SPU3,0.30,9.39,-2.07,-0.01,-0.04,0.01
SPU3,0.15,9.58,-2.14,-0.01,-0.04,0.01
SPU3,0.19,9.61,-2.14,-0.01,-0.04,0.01
SPU3,0.23,9.42,-2.14,-0.01,-0.04,0.01
SPU3,0.23,9.42,-2.14,0.01,-0.01,0.01
SPU3,0.15,9.50,-2.07,0.01,-0.01,0.01
SPU3,0.38,9.50,-2.03,0.01,-0.01,0.01
SPU3,0.38,9.50,-2.03,-0.01,0.05,0.00
SPU3,0.08,9.54,-2.11,-0.01,0.05,0.00
SPU3,0.08,9.39,-2.07,-0.01,0.05,0.00
