deviceID,aX,aY,aZ,gX,gY,gZ
SPU1,-2.05,-9.2,0.8,-0.01,-0.01,-0.0
SPU1,-2.05,-9.2,0.8,-0.01,-0.02,0.01
SPU1,-1.97,-9.32,0.73,-0.01,-0.02,0.01
SPU1,-1.97,-9.32,0.73,-0.02,0.02,-0.0
SPU1,-1.97,-9.32,0.73,-0.02,0.02,-0.02
SPU1,-1.97,-9.32,0.73,0.02,-0.01,-0.01
SPU1,-1.97,-9.32,0.73,-0.01,-0.04,-0.02
SPU1,-1.97,-9.32,0.73,-0.03,0.02,0.01
SPU1,-1.97,-9.36,0.69,-0.03,0.02,0.01
SPU1,-2.05,-9.16,0.77,-0.03,0.02,0.01
SPU1,-1.93,-9.24,0.65,-0.03,0.02,0.01
SPU1,-1.93,-9.24,0.65,-0.01,0.0,0.03
SPU1,-1.86,-9.51,0.61,-0.01,0.0,0.03
SPU1,-1.13,-9.39,0.31,-0.01,0.0,0.03
SPU1,-1.13,-9.39,0.31,0.19,0.02,0.14
SPU1,-1.09,-8.93,0.31,0.19,0.02,0.14
SPU1,-1.09,-8.93,0.31,0.3,0.06,0.21
SPU1,-1.09,-8.93,0.31,-0.0,0.32,0.18
SPU1,-2.09,-9.47,0.77,-0.0,0.32,0.18
SPU1,-2.09,-9.47,0.77,-0.04,0.59,0.28
SPU1,-2.09,-9.47,0.77,0.39,-0.22,0.22
SPU1,-2.01,-6.6,1.69,0.39,-0.22,0.22
SPU1,-3.89,-10.16,1.57,0.39,-0.22,0.22
SPU1,-2.24,-9.09,1.61,0.39,-0.22,0.22
SPU1,-3.43,-10.2,1.07,0.39,-0.22,0.22
SPU1,-4.5,-8.21,1.3,0.39,-0.22,0.22
SPU1,-3.43,-8.09,1.11,0.39,-0.22,0.22
SPU1,-2.78,-8.93,1.15,0.39,-0.22,0.22
SPU1,-1.86,-8.32,1.15,0.39,-0.22,0.22
SPU1,-1.86,-8.32,1.15,0.13,-0.07,0.0
SPU1,-3.2,-8.32,1.0,0.13,-0.07,0.0
SPU1,-3.05,-9.13,1.0,0.13,-0.07,0.0
SPU1,-3.05,-9.13,1.0,-0.1,-0.06,-0.02
SPU1,-2.74,-9.2,1.04,-0.1,-0.06,-0.02
SPU1,-2.74,-9.2,1.04,-0.06,-0.03,-0.02
SPU1,-2.74,-9.2,1.04,0.01,-0.15,-0.02
SPU1,-2.74,-9.2,1.04,-0.01,0.01,0.03
SPU1,-3.01,-9.24,0.88,-0.01,0.01,0.03
SPU1,-2.97,-9.05,1.0,-0.01,0.01,0.03
SPU1,-2.93,-9.01,1.07,-0.01,0.01,0.03
SPU1,-2.78,-8.86,0.96,-0.01,0.01,0.03
SPU1,-2.86,-8.78,0.92,-0.01,0.01,0.03
SPU1,-2.86,-8.78,0.92,0.08,-0.01,0.0
SPU1,-3.24,-8.74,1.11,0.08,-0.01,0.0
SPU1,-2.74,-8.78,0.92,0.08,-0.01,0.0
SPU1,-2.74,-8.78,0.92,-0.02,-0.08,0.02
SPU1,-2.97,-9.05,1.0,-0.02,-0.08,0.02
SPU1,-2.97,-9.05,1.0,0.02,0.0,0.04
SPU1,-2.97,-9.05,1.0,0.02,0.13,0.04
SPU1,-3.35,-9.13,1.19,0.02,0.13,0.04
SPU1,-3.35,-9.13,1.19,0.01,-0.08,-0.01
SPU1,-3.35,-9.13,1.19,0.02,-0.01,0.01
SPU1,-3.01,-8.93,1.23,0.02,-0.01,0.01
SPU1,-3.24,-8.89,1.23,0.02,-0.01,0.01
SPU1,-2.97,-9.01,1.15,0.02,-0.01,0.01
SPU1,-2.86,-8.97,1.15,0.02,-0.01,0.01
SPU1,-3.09,-9.01,1.11,0.02,-0.01,0.01
SPU1,-3.16,-8.89,1.15,0.02,-0.01,0.01
SPU1,-3.09,-9.05,1.07,0.02,-0.01,0.01
SPU1,-3.01,-8.93,1.07,0.02,-0.01,0.01
SPU1,-3.01,-8.93,1.07,0.02,-0.04,0.02
SPU3,-0.3,9.23,-3.22,0.0,0.03,-0.02
SPU3,-0.38,9.2,-3.18,0.0,0.03,-0.02
SPU3,-0.34,9.2,-3.22,0.0,0.03,-0.02
SPU3,-0.38,9.27,-3.18,0.0,0.03,-0.02
SPU3,-0.23,9.23,-3.26,0.0,0.03,-0.02
SPU3,-0.46,9.23,-3.14,0.0,0.03,-0.02
SPU3,-0.42,9.2,-3.18,0.0,0.03,-0.02
SPU3,-0.54,9.2,-3.14,0.0,0.03,-0.02
SPU3,-0.38,9.23,-3.14,0.0,0.03,-0.02
SPU3,-0.38,9.23,-3.14,-0.0,0.01,0.0
SPU3,-0.34,9.27,-3.07,-0.0,0.01,0.0
SPU3,-0.27,9.27,-3.14,-0.0,0.01,0.0
SPU3,-0.27,9.27,-3.14,0.01,-0.01,-0.01
SPU3,-0.3,9.27,-3.14,0.01,-0.01,-0.01
SPU3,-0.3,9.27,-3.14,-0.0,0.02,-0.01
SPU3,-0.3,9.27,-3.14,-0.0,-0.03,-0.0
SPU3,-0.3,9.27,-3.14,0.0,0.03,-0.01
SPU3,-0.3,9.27,-3.14,0.0,-0.01,-0.01
SPU3,-0.3,9.27,-3.14,-0.01,-0.02,0.0
SPU3,-0.46,9.27,-3.18,-0.01,-0.02,0.0
SPU3,-0.46,9.2,-3.07,-0.01,-0.02,0.0
SPU3,-0.57,9.16,-3.1,-0.01,-0.02,0.0
SPU3,-0.38,9.31,-3.18,-0.01,-0.02,0.0
SPU3,-0.23,9.27,-3.22,-0.01,-0.02,0.0
SPU3,-0.46,9.23,-3.1,-0.01,-0.02,0.0
SPU3,-0.54,9.23,-3.14,-0.01,-0.02,0.0
SPU3,-0.54,9.23,-3.14,-0.0,0.01,-0.01
SPU3,-0.42,9.2,-3.18,-0.0,0.01,-0.01
SPU3,-0.34,9.23,-3.14,-0.0,0.01,-0.01
SPU3,-0.34,9.23,-3.14,0.0,-0.04,-0.01
SPU3,-0.27,9.23,-3.22,0.0,-0.04,-0.01
SPU3,-0.3,9.23,-3.14,0.0,-0.04,-0.01
SPU3,-0.3,9.23,-3.14,0.02,-0.01,-0.0
SPU3,-0.3,9.23,-3.14,0.0,-0.02,0.0
SPU3,-0.3,9.23,-3.14,-0.01,0.01,-0.0
SPU3,-0.3,9.23,-3.14,0.0,0.0,-0.0
SPU3,-0.34,9.27,-3.18,0.0,0.0,-0.0
SPU3,-0.5,9.2,-3.1,0.0,0.0,-0.0
SPU3,-0.54,9.23,-3.1,0.0,0.0,-0.0
SPU3,-0.46,9.23,-3.18,0.0,0.0,-0.0
SPU3,-0.27,9.31,-3.18,0.0,0.0,-0.0
SPU3,-0.5,9.2,-3.14,0.0,0.0,-0.0
SPU3,-0.5,9.23,-3.14,0.0,0.0,-0.0
SPU3,-0.46,9.23,-3.1,0.0,0.0,-0.0
SPU3,-0.42,9.23,-3.14,0.0,0.0,-0.0
SPU3,-0.46,9.2,-3.14,0.0,0.0,-0.0
SPU3,-0.46,9.2,-3.14,-0.01,0.0,-0.0
SPU3,-0.46,9.2,-3.14,-0.01,0.02,0.0
SPU3,-0.5,9.16,-3.1,-0.01,0.02,0.0
SPU3,-0.5,9.16,-3.1,-0.0,-0.0,0.01
SPU3,-0.5,9.16,-3.1,-0.01,-0.0,0.0
SPU3,-0.46,9.27,-3.1,-0.01,-0.0,0.0
SPU3,-0.46,9.27,-3.1,0.0,0.01,0.01
SPU3,-0.61,9.2,-3.14,0.0,0.01,0.01
SPU3,-0.5,9.27,-3.18,0.0,0.01,0.01
SPU3,-0.46,9.2,-3.1,0.0,0.01,0.01
SPU3,-0.42,9.27,-3.14,0.0,0.01,0.01
SPU3,-0.46,9.2,-3.14,0.0,0.01,0.01
SPU3,-0.46,9.2,-3.14,-0.0,0.0,0.01
SPU3,-0.42,9.2,-3.18,-0.0,0.0,0.01
SPU3,-0.61,9.23,-3.03,-0.0,0.0,0.01
SPU3,-0.61,9.23,-3.03,-0.01,0.03,0.01
SPU3,-0.54,9.2,-3.07,-0.01,0.03,0.01
SPU3,-0.54,9.2,-3.07,-0.0,-0.01,0.0
SPU3,-0.54,9.2,-3.07,0.01,0.03,0.0
SPU3,-0.57,9.23,-3.1,0.01,0.03,0.0
SPU3,-0.57,9.23,-3.1,0.01,-0.0,0.01
SPU3,-0.57,9.23,-3.1,0.0,-0.01,-0.0
SPU3,-0.5,9.2,-3.18,0.0,-0.01,-0.0
SPU3,-0.42,9.2,-3.18,0.0,-0.01,-0.0
SPU3,-0.42,9.2,-3.14,0.0,-0.01,-0.0
SPU3,-0.54,9.2,-3.1,0.0,-0.01,-0.0
SPU3,-0.54,9.23,-3.18,0.0,-0.01,-0.0
SPU3,-0.54,9.2,-3.18,0.0,-0.01,-0.0
SPU3,-0.57,9.27,-3.1,0.0,-0.01,-0.0
SPU3,-0.57,9.27,-3.1,-0.01,0.01,0.0
SPU3,-0.42,9.2,-3.18,-0.01,0.01,0.0
SPU3,-0.42,9.27,-3.1,-0.01,0.01,0.0
SPU3,-0.42,9.27,-3.1,0.01,0.01,-0.01
SPU3,-0.54,9.27,-3.18,0.01,0.01,-0.01
SPU3,-0.54,9.27,-3.18,0.0,-0.0,0.0
SPU3,-0.54,9.27,-3.18,0.0,-0.01,-0.0
SPU3,-0.54,9.27,-3.18,-0.0,-0.01,0.01
SPU3,-0.54,9.27,-3.18,-0.01,-0.0,-0.0
SPU3,-0.54,9.27,-3.18,0.01,0.01,0.0
SPU3,-0.5,9.23,-3.14,0.01,0.01,0.0
SPU3,-0.42,9.23,-3.1,0.01,0.01,0.0
SPU3,-0.54,9.23,-3.1,0.01,0.01,0.0
SPU3,-0.38,9.23,-3.18,0.01,0.01,0.0
SPU3,-0.38,9.23,-3.14,0.01,0.01,0.0
SPU3,-0.5,9.23,-3.1,0.01,0.01,0.0
SPU3,-0.38,9.27,-3.14,0.01,0.01,0.0
SPU3,-0.38,9.27,-3.14,0.0,0.01,0.0
SPU3,-0.5,9.23,-3.18,0.0,0.01,0.0
SPU3,-0.38,9.27,-3.18,0.0,0.01,0.0
SPU3,-0.38,9.27,-3.18,0.01,-0.02,0.01
SPU3,-0.5,9.2,-3.14,0.01,-0.02,0.01
SPU3,-0.5,9.2,-3.14,-0.01,0.0,0.0
SPU3,-0.5,9.2,-3.14,0.0,0.02,0.0
SPU3,-0.5,9.2,-3.14,0.01,-0.03,0.01
SPU3,-0.5,9.2,-3.14,0.0,-0.01,0.0
SPU3,-0.38,9.23,-3.22,0.0,-0.01,0.0
SPU3,-0.46,9.16,-3.14,0.0,-0.01,0.0
SPU3,-0.5,9.27,-3.14,0.0,-0.01,0.0
SPU3,-0.34,9.2,-3.22,0.0,-0.01,0.0
SPU3,-0.42,9.27,-3.18,0.0,-0.01,0.0
SPU3,-0.38,9.27,-3.18,0.0,-0.01,0.0
SPU3,-0.5,9.2,-3.14,0.0,-0.02,-0.0
SPU3,-0.5,9.2,-3.14,-0.01,0.04,-0.01
SPU3,-0.5,9.2,-3.14,-0.02,0.02,-0.0
SPU3,-0.46,9.2,-3.1,-0.02,0.02,-0.0
SPU3,-0.46,9.2,-3.1,0.0,0.0,0.01
SPU3,-0.46,9.2,-3.1,0.0,-0.01,0.0
SPU3,-0.5,9.2,-3.1,0.0,-0.01,0.0
SPU3,-0.5,9.2,-3.1,-0.02,-0.0,0.0
SPU3,-0.5,9.2,-3.1,0.02,0.0,0.0
SPU3,-0.23,9.27,-3.22,0.02,0.0,0.0
SPU3,-0.34,9.2,-3.18,0.02,0.0,0.0
SPU3,-0.5,9.2,-3.14,0.02,0.0,0.0
SPU3,-0.38,9.27,-3.14,0.02,0.0,0.0
SPU3,-0.5,9.16,-3.18,0.02,0.0,0.0
SPU3,-0.46,9.16,-3.14,0.02,0.0,0.0
SPU3,-0.42,9.23,-3.07,0.02,0.0,0.0
SPU3,-0.27,9.27,-3.22,0.02,0.0,0.0
SPU3,-0.38,9.2,-3.1,0.02,0.0,0.0
SPU3,-0.46,9.2,-3.1,0.02,0.0,0.0
SPU3,-0.46,9.2,-3.1,-0.01,0.01,-0.01
SPU3,-0.5,9.23,-3.14,-0.01,0.01,-0.01
SPU3,-0.5,9.23,-3.14,-0.01,-0.01,0.0
SPU3,-0.5,9.23,-3.14,-0.01,-0.04,0.02
SPU3,0.0,9.16,-3.18,-0.01,-0.04,0.02
