deviceID,aX,aY,aZ,gX,gY,gZ
SPU4,2.93,9.68,-0.39,0.02,0.09,0.09
SPU4,2.93,9.68,-0.39,0.01,0.27,0.07
SPU4,2.51,9.46,-0.27,0.01,0.27,0.07
SPU4,2.51,9.46,-0.27,-0.08,0.12,0.04
SPU4,2.51,9.46,-0.27,0.08,0.19,0.09
SPU4,2.40,9.38,0.91,0.08,0.19,0.09
SPU4,2.40,9.38,0.91,0.11,-0.78,0.61
SPU4,1.79,9.07,0.11,0.11,-0.78,0.61
SPU4,-2.08,6.70,0.45,0.11,-0.78,0.61
SPU4,4.81,1.30,-0.85,0.11,-0.78,0.61
SPU4,3.36,20.22,-3.18,0.11,-0.78,0.61
SPU4,10.06,-2.34,-2.19,0.11,-0.78,0.61
SPU4,18.07,47.76,-15.83,0.11,-0.78,0.61
SPU4,18.07,47.76,-15.83,2.04,-0.97,-0.79
SPU4,6.19,17.77,-3.84,2.04,-0.97,-0.79
SPU4,-6.22,8.88,1.14,2.04,-0.97,-0.79
SPU4,-6.22,8.88,1.14,-0.68,-1.94,0.71
SPU4,3.62,0.80,0.68,-0.68,-1.94,0.71
SPU4,3.62,0.80,0.68,0.33,0.70,0.92
SPU4,2.02,14.24,-2.73,0.33,0.70,0.92
SPU4,2.02,14.24,-2.73,0.06,0.05,1.76
SPU4,2.02,14.24,-2.73,2.51,1.36,0.03
SPU4,2.02,14.24,-2.73,-3.68,-1.06,0.35
SPU4,20.55,11.52,-3.18,-3.68,-1.06,0.35
SPU4,-8.63,1.30,-0.66,-3.68,-1.06,0.35
SPU4,-2.58,-3.76,-0.01,-3.68,-1.06,0.35
SPU4,0.75,1.34,0.53,-3.68,-1.06,0.35
SPU4,1.36,3.06,0.68,-3.68,-1.06,0.35
SPU4,-3.66,5.05,2.29,-3.68,-1.06,0.35
SPU4,5.77,29.30,-6.48,-3.68,-1.06,0.35
SPU4,21.17,-2.00,-1.69,-3.68,-1.06,0.35
SPU4,10.60,18.99,-10.96,-3.68,-1.06,0.35
SPU4,10.60,18.99,-10.96,-1.39,0.67,-0.77
SPU4,12.43,9.53,-3.07,-1.39,0.67,-0.77
SPU4,-4.73,12.83,-0.96,-1.39,0.67,-0.77
SPU4,-4.73,12.83,-0.96,1.91,1.22,-0.11
SPU4,-8.41,10.45,0.34,1.91,1.22,-0.11
SPU4,-8.41,10.45,0.34,1.58,-0.28,-0.22
SPU4,-8.41,10.45,0.34,3.76,1.87,1.97
SPU4,-8.41,10.45,0.34,-3.91,-3.66,2.86
SPU4,20.48,17.12,-7.59,-3.91,-3.66,2.86
SPU4,0.06,16.93,-0.58,-3.91,-3.66,2.86
SPU4,19.41,9.04,-7.82,-3.91,-3.66,2.86
SPU4,0.48,9.30,-0.89,-3.91,-3.66,2.86
SPU4,-7.03,0.18,1.98,-3.91,-3.66,2.86
SPU4,2.02,1.68,-0.77,-3.91,-3.66,2.86
SPU4,-2.96,1.26,2.10,-3.91,-3.66,2.86
SPU4,-2.96,1.26,2.10,7.08,-1.54,2.44
SPU4,17.11,11.26,-8.28,7.08,-1.54,2.44
SPU4,17.11,11.26,-8.28,1.59,0.04,0.44
SPU4,10.33,12.75,-6.06,1.59,0.04,0.44
SPU4,10.33,12.75,-6.06,-0.43,2.68,-1.17
SPU4,10.33,12.75,-6.06,-0.72,-0.46,-1.71
SPU4,3.20,-4.87,0.64,-0.72,-0.46,-1.71
SPU4,3.20,-4.87,0.64,0.11,1.00,1.18
SPU4,3.20,-4.87,0.64,-0.77,-2.29,0.98
SPU4,3.20,-4.87,0.64,13.24,0.12,-1.64
SPU4,9.48,-30.73,-1.31,13.24,0.12,-1.64
SPU4,24.00,17.00,-7.17,13.24,0.12,-1.64
SPU4,5.50,-3.91,-2.69,13.24,0.12,-1.64
SPU4,13.85,18.61,-3.61,13.24,0.12,-1.64
SPU4,-18.21,5.89,3.10,13.24,0.12,-1.64
SPU4,-3.35,4.48,0.38,13.24,0.12,-1.64
SPU4,4.43,1.37,-1.08,13.24,0.12,-1.64
SPU4,4.31,0.49,-0.50,13.24,0.12,-1.64
SPU4,2.86,20.14,-14.95,13.24,0.12,-1.64
SPU4,2.86,20.14,-14.95,3.98,1.12,1.03
SPU4,0.90,18.19,-6.90,3.98,1.12,1.03
SPU4,0.90,18.19,-6.90,0.61,0.61,-1.11
SPU4,0.90,18.19,-6.90,-0.15,2.20,-1.21
SPU4,0.90,18.19,-6.90,-2.16,-1.87,-0.42
SPU4,0.90,18.19,-6.90,0.24,-0.73,0.15
SPU4,0.90,18.19,-6.90,0.50,0.49,0.51
SPU4,-7.06,7.27,-0.62,0.50,0.49,0.51
SPU4,20.79,-22.99,-7.25,0.50,0.49,0.51
SPU4,7.26,27.96,-7.17,0.50,0.49,0.51
SPU4,3.55,6.24,-3.61,0.50,0.49,0.51
SPU4,20.32,12.56,-6.67,0.50,0.49,0.51
SPU4,20.32,12.56,-6.67,-1.58,0.71,-0.74
SPU4,-9.79,2.18,2.48,-1.58,0.71,-0.74
SPU4,4.05,4.71,-1.61,-1.58,0.71,-0.74
SPU4,0.87,5.39,-3.22,-1.58,0.71,-0.74
SPU4,-1.16,64.77,-22.19,-1.58,0.71,-0.74
SPU4,-1.16,64.77,-22.19,5.01,0.82,-3.01
SPU4,6.77,25.32,-5.71,5.01,0.82,-3.01
SPU4,6.77,25.32,-5.71,-0.34,-1.97,-0.22
SPU4,6.77,25.32,-5.71,-0.21,1.44,-0.46
SPU4,6.77,25.32,-5.71,0.37,-0.37,-0.16
SPU4,7.04,8.96,-2.54,0.37,-0.37,-0.16
SPU4,0.94,10.38,-0.50,0.37,-0.37,-0.16
SPU4,2.02,9.46,1.11,0.37,-0.37,-0.16
SPU4,-3.81,10.45,1.07,0.37,-0.37,-0.16
SPU4,7.68,4.05,-2.27,0.37,-0.37,-0.16
SPU4,11.48,9.38,-1.46,0.37,-0.37,-0.16
SPU4,9.60,8.11,-7.32,0.37,-0.37,-0.16
SPU4,9.60,8.11,-7.32,-1.48,0.51,-1.01
SPU4,15.57,10.45,-0.31,-1.48,0.51,-1.01
SPU4,15.57,10.45,-0.31,-2.14,1.76,0.66
SPU4,15.57,10.45,-0.31,-0.13,-0.60,0.04
SPU4,0.68,1.26,0.57,-0.13,-0.60,0.04
SPU4,0.68,1.26,0.57,0.08,0.06,0.00
SPU4,-2.24,2.45,-2.15,0.08,0.06,0.00
SPU4,-2.24,2.45,-2.15,1.11,0.65,1.62
SPU4,-2.24,2.45,-2.15,1.91,-2.18,1.82
SPU4,9.68,30.29,-6.02,1.91,-2.18,1.82
SPU4,3.09,-0.89,0.26,1.91,-2.18,1.82
SPU4,1.17,12.21,-0.27,1.91,-2.18,1.82
SPU4,-1.24,6.01,1.18,1.91,-2.18,1.82
SPU4,5.62,10.91,-1.31,1.91,-2.18,1.82
SPU4,-0.97,8.27,1.07,1.91,-2.18,1.82
SPU4,-1.20,9.15,0.49,1.91,-2.18,1.82
SPU4,4.93,7.20,-2.57,1.91,-2.18,1.82
SPU4,4.93,7.20,-2.57,0.68,-0.10,0.63
SPU4,18.18,10.07,-11.84,0.68,-0.10,0.63
SPU4,18.18,10.07,-11.84,-1.35,0.05,-1.09
SPU4,18.18,10.07,-11.84,-1.08,2.94,-2.42
SPU4,18.18,10.07,-11.84,1.57,2.08,1.03
SPU4,18.18,10.07,-11.84,-0.71,-1.22,0.96
SPU4,0.87,-2.96,0.34,-0.71,-1.22,0.96
SPU4,0.87,-2.96,0.34,0.46,0.21,0.09
SPU4,16.54,17.42,-2.77,0.46,0.21,0.09
SPU4,-9.40,45.54,-6.06,0.46,0.21,0.09
SPU4,36.18,-6.82,-8.82,0.46,0.21,0.09
SPU4,-2.73,6.01,1.22,0.46,0.21,0.09
SPU4,0.37,-1.92,0.61,0.46,0.21,0.09
SPU4,0.56,11.29,-2.57,0.46,0.21,0.09
SPU4,-4.69,11.64,-0.85,0.46,0.21,0.09
SPU4,5.35,11.87,-0.89,0.46,0.21,0.09
SPU4,0.94,6.35,-1.96,0.46,0.21,0.09
SPU4,0.94,6.35,-1.96,-0.80,-1.06,1.20
SPU4,20.02,5.55,-5.02,-0.80,-1.06,1.20
SPU4,20.02,5.55,-5.02,-1.10,-0.11,-1.50
SPU4,10.98,16.08,-3.18,-1.10,-0.11,-1.50
