deviceID,aX,aY,aZ,gX,gY,gZ
SPU4,1.29,9.61,-1.65,0.00,0.03,-0.00
SPU4,1.13,9.65,-1.61,0.00,0.03,-0.00
SPU4,1.13,9.65,-1.61,0.04,0.18,-0.02
SPU4,0.45,9.80,-1.58,0.04,0.18,-0.02
SPU4,0.45,9.80,-1.58,0.01,-0.03,-0.00
SPU4,0.45,9.80,-1.58,-0.02,-0.07,0.02
SPU4,0.45,9.80,-1.58,-0.01,0.01,0.01
SPU4,0.45,9.80,-1.58,-0.01,-0.03,-0.01
SPU4,1.59,9.53,-1.73,-0.01,-0.03,-0.01
SPU4,1.59,9.53,-1.73,0.12,0.38,-0.03
SPU4,0.94,9.38,-1.69,0.12,0.38,-0.03
SPU4,1.55,10.03,-1.73,0.12,0.38,-0.03
SPU4,1.09,10.14,-2.23,0.12,0.38,-0.03
SPU4,1.29,9.88,-1.69,0.12,0.38,-0.03
SPU4,1.63,9.57,-2.04,0.12,0.38,-0.03
SPU4,0.64,9.95,-1.58,0.12,0.38,-0.03
SPU4,0.64,9.95,-1.58,-0.14,-0.02,0.24
SPU4,1.17,9.72,-1.73,-0.14,-0.02,0.24
SPU4,1.63,9.57,-1.61,-0.14,-0.02,0.24
SPU4,1.29,9.80,-1.88,-0.14,-0.02,0.24
SPU4,1.94,9.27,-1.35,-0.14,-0.02,0.24
SPU4,1.94,9.27,-1.35,-0.61,-0.69,0.63
SPU4,2.78,9.23,-2.57,-0.61,-0.69,0.63
SPU4,2.78,9.23,-2.57,-0.86,-1.05,0.49
SPU4,2.78,9.23,-2.57,-0.90,-1.21,0.56
SPU4,2.78,9.23,-2.57,-0.70,-1.91,0.83
SPU4,6.65,6.39,-0.31,-0.70,-1.91,0.83
SPU4,-18.17,13.52,-2.38,-0.70,-1.91,0.83
SPU4,-5.76,12.94,-7.78,-0.70,-1.91,0.83
SPU4,-19.71,17.65,-6.75,-0.70,-1.91,0.83
SPU4,41.36,14.47,-17.21,-0.70,-1.91,0.83
SPU4,-1.16,-0.04,-1.42,-0.70,-1.91,0.83
SPU4,15.50,0.61,-5.87,-0.70,-1.91,0.83
SPU4,15.50,0.61,-5.87,-0.73,1.26,-1.02
SPU4,-7.91,2.56,0.53,-0.73,1.26,-1.02
SPU4,-7.91,2.56,0.53,-6.27,2.14,5.29
SPU4,5.88,-24.91,-7.97,-6.27,2.14,5.29
SPU4,7.19,33.74,-6.25,-6.27,2.14,5.29
SPU4,7.19,33.74,-6.25,1.44,2.81,0.34
SPU4,-16.87,9.84,2.91,1.44,2.81,0.34
SPU4,-16.87,9.84,2.91,5.68,4.26,3.80
SPU4,-16.87,9.84,2.91,0.59,-2.02,6.26
SPU4,-16.87,9.84,2.91,3.30,-2.72,3.02
SPU4,26.42,-9.13,2.10,3.30,-2.72,3.02
SPU4,17.22,-13.41,0.30,3.30,-2.72,3.02
SPU4,13.77,1.30,-3.95,3.30,-2.72,3.02
SPU4,-2.08,2.21,-2.96,3.30,-2.72,3.02
SPU4,0.41,-1.58,1.60,3.30,-2.72,3.02
SPU4,-6.22,-7.63,-7.13,3.30,-2.72,3.02
SPU4,20.29,-18.09,-7.78,3.30,-2.72,3.02
SPU4,17.57,0.99,-13.49,3.30,-2.72,3.02
SPU4,-2.31,6.70,2.45,3.30,-2.72,3.02
SPU4,-2.31,6.70,2.45,1.13,3.90,0.99
SPU4,-18.63,10.87,1.83,1.13,3.90,0.99
SPU4,-18.63,10.87,1.83,3.16,-0.65,1.95
SPU4,-18.63,10.87,1.83,-0.83,6.27,0.17
SPU4,1.75,-2.54,2.29,-0.83,6.27,0.17
SPU4,1.75,-2.54,2.29,-0.84,-0.54,-4.50
SPU4,1.75,-2.54,2.29,-2.32,0.52,-5.62
SPU4,1.75,-2.54,2.29,-2.00,0.84,-4.91
SPU4,-2.85,-0.54,-1.20,-2.00,0.84,-4.91
SPU4,-4.30,8.04,-4.53,-2.00,0.84,-4.91
SPU4,10.21,41.82,-19.96,-2.00,0.84,-4.91
SPU4,20.48,15.43,-12.27,-2.00,0.84,-4.91
SPU4,10.33,27.92,-9.35,-2.00,0.84,-4.91
SPU4,3.01,29.18,-3.18,-2.00,0.84,-4.91
SPU4,-8.79,5.66,4.44,-2.00,0.84,-4.91
SPU4,-13.73,7.46,2.87,-2.00,0.84,-4.91
SPU4,6.54,8.34,-2.73,-2.00,0.84,-4.91
SPU4,6.54,8.34,-2.73,-2.02,1.70,0.58
